"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"4590","7441","7441","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"4591","7442","7442","Ballyboden Way","Ballyboden Way","Blch Bhaile Baodáin",""
"4592","7443","7443","Ballyboden Way","Ballyboden Way","Blch Bhaile Baodáin",""
"4593","7444","7444","Ballyboden Way","Ballyboden Way","Slí Bhaile Baodáin",""
"4594","7445","7445","Scholarstown Rd","Scholarstown Rd","Br Bhaile Scallart",""
"4595","7446","7446","Ballyboden Way","Ballyboden Way","Slí Bhaile Baodáin",""
"4596","7447","7447","Taylors Lane","Grange Golf Club","Lána an Táilliúraig",""
"4597","7448","7448","Taylors Lane","Grange Golf Club","Lána an Táilliúraig",""
"4598","7449","7449","Taylors Lane","Taylors Lane","Lána an Táilliúraig",""
"4599","7453","7453","Arran Quay","Arran Quay","Cé Árann",""
"4600","7454","7454","Herberton Road","Herberton Road","Bóthar Herberton",""
"4601","7455","7455","Herberton Road","Herberton Road","Bóthar Herberton",""
"4602","7458","7458","Ballygall Road West","Ballygall Road West","Bóthar Bhaile Gall",""
"4603","7459","7459","Citywest Rd","Citywest Rd","Br Iarthar na Cathr",""
"4604","7460","7460","Citywest Rd","Citywest Rd","Br Iarthar na Cathr",""
"4605","7461","7461","Charlesland Rd","Charlesland Rd","Br Acra na mBodach",""
"4606","7462","7462","Charlesland Rd","Charlesland Rd","Br Acra na mBodach",""
"4607","7469","7469","Mount Prospect Ave","Mount Prospect Ave","Asc Chnocán an Radh",""
"4608","7471","7471","Tolka Valley Rd","Tolka Valley Rd","Br Ghleann an Tulch",""
"4609","7472","7472","Rochestown Ave","Rochestown Ave","Asc Bhaile an Róist",""
"4610","7473","7473","Fonthill Rd","Fonthill Rd","Br Chnoc an Fhuarái",""
"4611","7475","7475","Blanchardstown Rd","Blanchardstown Rd","Br Bhaile Bhlainséi",""
"4612","7505","7505","Bealing Boulevard","Bealing Boulevard","Búlbhard Bhéilinn",""
"4613","7507","7507","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"4614","7510","7510","Coldcut Rd","Coldcut Rd","Br na Botha Fuaire",""
"4615","7513","7513","Infirmary Rd","Infirmary Rd","Br na hOtharlainne",""
"4616","7514","7514","East Road","East Road","An Bóthar Thoir",""
"4617","7516","7516","Belmayne","Belmayne","Béal Maighne",""
"4618","7522","7522","Boghall Road","Oldcourt","Bóthar na Móna",""
"4619","7550","7550","Killinarden","Killinarden","Chill an Ardáin",""
"4620","7551","7551","Grange Road ","Grange Road","Bóthar na Gráinsí",""
"4621","7552","7552","Grange Road","Grange Road","Bóthar na Gráinsí",""
"4622","7553","7553","Glenageary Road","Park Pointe SC","Br Ghleann na gCaor",""
"4623","7554","7554"," Glenageary Road","Park Pointe SC","Br Ghleann na gCaor",""
"4624","7555","7555","Mountjoy Square","Mountjoy Square","Cearnóg Mhuinseó",""
"4625","7556","7556","Shanganagh Rd","Shanganagh Rd","Br Sheangánaí",""
"4626","7559","7559","Church Road","Church Road","Bóthar an Teampaill",""
"4627","7560","7560","Ratoath Road","Ratoath Road","Bóthar Ráth Tó",""
"4628","7563","7563","Newcastle Rd","Newcastle Rd","Br an Chaisleáin Nu",""
"4629","7564","7564","Poolbeg Street","Poolbeg Street","Sr an Phoill Bhig",""
"4630","7565","7565","Oldtown Road","Oldtown Road","Bóthar an tSeanbhai",""
"4631","7567","7567","Burton Hall Rd","Burton Hall Rd","Blackthorn Avenue",""
"4632","7568","7568","Eden Quay","Eden Quay","Cé Éidin",""
"4633","7569","7569","Talbot Street","Talbot Street","Sráid Thalbóid",""
"4634","7570","7570","Blanchardstown Corp","Texaco Garage","B Bhlainséir Pc Cho",""
"4635","7571","7571","DCU","DCU","DCU",""
"4636","7574","7574","Southern Cross","Southern Cross","Chros an Deiscirt",""
"4637","7575","7575","Blanchardstown Corp","Texaco Garage","B Bhlainséir Pc Cho",""
"4638","7577","7577","Camden Street","Camden Street","Sráid Camden",""
"4639","7578","7578","George's Street","George's Street","Sr Sheoirse",""
"4640","7579","7579","Redmond's Hill","Redmond's Hill","Cnoc Réamainn",""
"4641","7581","7581","Dame Street","Dame Street","Sráid an Dáma",""
"4642","7582","7582","Dame Street","Dame Street","Sráid an Dáma",""
"4643","7584","7584","Stillorgan Park Roa","Stillorgan Park Road","",""
"4644","7585","7585","Leinster Street Sou","Leinster Street South","Sráid Laighean Thea",""
"4645","7586","7586","Leinster Street Sou","Leinster Street South","Sráid Laighean Thea",""
"4646","7587","7587","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"4647","7588","7588","Pearse Street","Pearse Street","Sráid an Phiarsaigh",""
"4648","7591","7591","Abbey St","Abbey St","Sráid na Mainistrea",""
"4649","7599","7599","Sandymount Ave","Sandymount Ave","Ascl Dhumhach Thrá",""
"4650","7601","7601","Bond Drive Extensio","Bond Drive Extension","Síneadh Bond Drive",""
"4651","7602","7602","Drumcondra Rd","Drumcondra Rd","Bóthar Dhroim Conra",""
"4652","7603","7603","Drumcondra Rd","Drumcondra Rd","Br Dhroim Conrach",""
"4653","7607","7607","Vernon Avenue","Vernon Avenue","",""
"4654","7611","7611","North Wall Quay","North Wall Quay","Ionad Comhdhála",""
"4655","7612","7612","Merrion Street Lowe","Merrion Street Lower","Cearnóg Sraid Íocht",""
"4656","7616","7616","Swords Road","Swords Road","",""
"4657","7622","7622","Bachelors Walk","Bachelors Walk","Siúlán Bhaitsiléir",""
"4658","7623","7623","East Wall Rd","East Wall Rd","Br an Phoirt Thoir",""
"4659","7634","7634","Pottery Rd ","Cabinteely Court","Br na Potaireachta",""
"4660","7635","7635","Pottery Rd","Cabinteely Court","Br na Potaireachta",""
"4661","7636","7636","Pottery Rd","Mackintosh Park","Br na Potaireachta",""
"4662","7637","7637","Pottery Rd","Clonkeen Crescent","Br na Potaireachta",""
"4663","7639","7639","Brides Glen","Brides Glen","Luas Station",""
"4664","7640","7640","Cherrywood Business","Cherrywood Business Pk","Pc Gnó Choill na Si",""
"4665","7641","7641","Sallyglen Rd","Sallyglen Rd","Br Ghleann Saileach",""
"4666","7642","7642","Sallyglen Rd","Sallyglen Rd","Br Ghleann Saileach",""
"4667","7643","7643","Sallyglen Rd","Sallyglen Rd","Bóthar Ghleann Sail",""
"4668","7644","7644","Sallyglen Rd","Sallyglen Rd","Br Ghleann Saileach",""
"4669","7645","7645","Sallyglen Road","Sallyglen Road","Br Ghleann Saileach",""
"4670","7646","7646","Sallyglen Rd","Sallyglen Rd","Br Ghleann Saileach",""
"4671","7651","7651","Pottery Road","Amgen","Bóthar na Potaireac",""
"4672","7654","7654","Knocksedan","Knocksedan","Chnoc Siáin",""
"4673","7660","7660","Frascati Road","Frascati Road","",""
"4674","7661","7661","Barry Road","Barry Road","",""
"4675","7665","7665","Poolbeg Street","Poolbeg Street","",""
"4676","7666","7666","Barnhill Rd","Barnhill Road","Br Chnoc an Sciobói",""
"4677","7667","7667","Barnhill Rd","Barnhill Rd","Br Chnoc an Sciobói",""
"4678","7668","7668","Charleston Road","Charleston Road","Bóthar Charleston",""
"4679","7671","7671","Sean Macdermott Str","Sean Macdermott Street lower","",""
"4680","7672","7672","Brombridge Luas","Brombridge Luas","Luas Droichead Broo",""
"4681","7673","7673","Cappagh Road","Cappagh Road","Bóthar Cheapaí",""
"4682","7674","7674","Cappagh Road","Cappagh Road","Bóthar Cheapaí",""
"4683","7675","7675","Cappagh Road","Cappagh Road","Bóthar Cheapaí",""
"4684","7676","7676","Mitchelstown Road","Mitchelstown Road","Bóthar Bhaile Mhist",""
"4685","7677","7677","Mitchelstown Road","Mitchelstown Road","Bóthar Bhaile Mhist",""
"4686","7678","7678","Tyrrelstown","Tyrrelstown","Baile an Tirialaigh",""
"4687","7679","7679","Mitchelstown Road","Mitchelstown Road","Bóthar Bhaile Mhist",""
"4688","7680","7680","Mitchelstown Road","Mitchelstown Road","Bóthar Bhaile Mhist",""
"4689","7681","7681","Cappagh Road","Cappagh Road","Bóthar Cheapaí",""
"4690","7682","7682","Cappagh Road","Cappagh Road","Bóthar Cheapaí",""
"4691","7683","7683","Cappagh Road","Cappagh Road","Bóthar Cheapaí",""
"4692","7686","7686","Brombridge Luas","Brombridge Luas","Luas Droichead Broo",""
"4693","7690","7690","Rush","Rush","An Ros",""
"4694","7691","7691","Chapel Vw Rd","Chapel Vw Rd","",""
"4695","7692","7692","Malahide Road","Malahide Road","Bóthar Mhullach Íde",""
"4696","7694","7694","Maynooth Road","Maynooth Road","Bóthar Mhaigh Nuad",""
"4697","10091","10091","Taney Grove","Taney Grove","",""
"4698","10092","10092","Mount Anville Schoo","Mount Anville School","",""
"4699","10093","10093","Deerpark Road","Deerpark Road","",""
"4700","10096","10096","Deerpark Road","Deerpark Road","",""
"4701","10097","10097","Mount Anville Schoo","Mount Anville School","",""
"4702","10098","10098","Taney Road","Taney Road","",""
"4703","10103","10103","Wyckham Way","Wyckham Way","",""
"4704","10104","10104","Ballintyre Grove","Ballintyre Grove","",""
"4705","10105","10105","Scholarstown Park","Scholarstown Park","",""
"4706","10106","10106","St Colmcilles Schoo","St Colmcilles School","",""
"4707","10107","10107","Tallaght Leisure Ct","Tallaght Leisure Ctr","",""
"4708","10108","10108","Glenshane Drive","Glenshane Drive","",""
"4709","10109","10109","Brookview Avenue","Brookview Avenue","",""
"4710","10110","10110","Ard Mor Drive","Ard Mor Drive","",""
"4711","10150","10150","Ard Mor Drive","Ard Mor Drive","",""
"4712","10151","10151","Brookview Avenue","Brookview Avenue","",""
"4713","10152","10152","Glenshane Drive","Glenshane Drive","",""
"4714","10153","10153","Tallaght Leisure Ct","Tallaght Leisure Ctr","",""
"4715","10154","10154","Scholarstown Park","Scholarstown Park","",""
"4716","10155","10155","Ballintyre Grove","Ballintyre Grove","",""
"4717","10156","10156","Wyckham Way","Wyckham Way","",""
"4718","10157","10157","Taney Park","Taney Park","",""
"4719","10158","10158","Taney Crescent","Taney Crescent","",""
"4720","10159","10159","Stoney Road","Stoney Road","",""
"4721","10160","10160","Taney Park","Taney Park","",""
"4722","10161","10161","Sydenham Road","Sydenham Road","",""
"4723","10162","10162","Sydenham Road","Sydenham Road","",""
"4724","100011","100011","Porthall","Porthall (Doherys Shop)","Halla an Phoirt",""
"4725","100021","100021","Skerries","Skerries (War Memorial)","Na Sceirí",""
"4726","100031","100031","Porthall","Porthall (Opp Doherys Shop)","Halla an Phoirt",""
"4727","100041","100041","Dublin","Dublin (Clare St Cafe Sol)","Baile Átha Cliath",""
"4728","100061","100061","Donnybrook","Donnybrook (Opp Stadium)","Domhnach Broc",""
"4729","100071","100071","Donnybrook","Donnybrook (Stadium)","Domhnach Broc",""
"4730","100101","100101","Kiltale","Kiltale (Stores)","Cill Táile",""
"4731","100111","100111","Dublin","Dublin (Westland Row Opp Rail Stn)","Baile Átha Cliath",""
"4732","100121","100121","Drumcondra","Drumcondra (Rail Station)","Droim Conrach",""
"4733","100141","100141","Whitehall","Whitehall (Opp Church Collins Ave)","An Halla Bán",""
"4734","100151","100151","Santry","Santry (Omni Shopping Centre)","Seantrabh",""
"4735","100161","100161","Airside Retail Park","Swords (Opp Airside Retail Pk)","",""
"4736","100181","100181","Seatown Roundabout","Swords (Seatown Roundabout)","",""
"4737","100191","100191","Opp Bostic","Swords (Opp Bostic)","",""
"4738","100201","100201","Turvey","Turvey (Opp Tervue Avenue)","Tuirbhe",""
"4739","100211","100211","Ballough","Ballough (Opp Man of War)","Baile Locha",""
"4740","100221","100221","Five Roads","Five Roads","Na Cúig Bhóthar",""
"4741","100231","100231","Grooms","Grooms","Grooms",""
"4742","100241","100241","Courtlough","Courtlough","Cartlach",""
"4743","100251","100251","Opp Cederwood Lodge","Balrothery (Opp Kingdom Hall)","Trs ó Lst Cederwood",""
"4744","100261","100261","Opp Golf Club","Balbriggan (Opp Golf Club)","",""
"4745","100271","100271","Opp Wavin","Balbriggan (Opp Wavin)","",""
"4746","100281","100281","Car Park","Balbriggan (Car Park)","",""
"4747","100291","100291","Community College","Balbriggan (Community College)","",""
"4748","100301","100301","Bath Rd Garage","Balbriggan (Bath Rd Service Station)","",""
"4749","100311","100311","Garda Station","Balbriggan (Garda Station)","",""
"4750","100321","100321","Huntsman Inn","Huntsman Inn","Ósta an Huntsman",""
"4751","100331","100331","Bellewstown Cross","Bellewstown Cross (Northbound)","Crs B. an Bheileog.",""
"4752","100341","100341","Whitecross","Whitecross (Opp School)","An Chrois Bhán",""
"4753","100351","100351","Merrion Square","Merrion Square North (Jct Clare St)","Cearnóg Mhuirfean",""
"4754","100361","100361","Ross Na Ri","Ross Na Ri (Moore Hall Lodge)","Ross na Rí",""
"4755","100371","100371","Deepforde Estate","Drogheda (Deepforde Estate)","",""
"4756","100381","100381","Opp Rail Station","Drogheda (Opp Rail Station)","",""
"4757","100401","100401","Show House Pub","Dublin (Merrion Rd (Show House Pub)","",""
"4758","100411","100411","Merrion Square","Merrion Square North (Opp Holles St)","Cearnóg Mhuirfean",""
"4759","100421","100421","Merrion St","Merrion St (Natural History Museum)","",""
"4760","100431","100431","North Wall Quay","North Wall Quay (Beckett Bridge)","",""
"4761","100461","100461","Dublin","Dublin (Merrion Rd Opp Show House Pub)","Baile Átha Cliath",""
"4762","100511","100511","Drogheda","Drogheda (Magdalene Street)","Droichead Átha",""
"4763","100521","100521","Opp McDonalds","Dundalk (Dublin Rd Opp McDonalds)","",""
"4764","100601","100601","North Rd Opp Esso","Drogheda (North Rd Opp Esso)","",""
"4765","100621","100621","St Marys Hospital","Drogheda (Opp St Marys Hospital)","",""
"4766","100631","100631","Dublin Rd Deepforde","Drogheda (Dublin Rd Deepforde)","",""
"4767","100641","100641","Moorehall Lodge","Drogheda (Dublin Rd Moorehall Lodge)","",""
"4768","100651","100651","Julianstown","Julianstown (The Lime Kiln)","Baile Iúiliáin",""
"4769","100661","100661","Whitecross School","Whitecross (School)","Scl na Croise Báine",""
"4770","100671","100671","Mosney Cross","Mosney Cross (Southbound)","Crois Mhaigh Muirí",""
"4771","100681","100681","Opp Bellewstown X","Bellewstown Cross (Southbound)","X B.an Bheileogaigh",""
"4772","100691","100691","Opp Huntsman Inn","Opp Huntsman Inn","Trs ón Huntsman Inn",""
"4773","100701","100701","Opp GormanstownX","Gormanstown Cross (Southbound)","Tr ó X B.UíGhormáin",""
"4774","100711","100711","Apache Pizza","Balbriggan (Apache Pizza)","",""
"4775","100721","100721","Wavin","Balbriggan (Wavin)","",""
"4776","100731","100731","Golf Club","Balbriggan (Golf Club)","",""
"4777","100741","100741","Creaderwood Lodge","Balrothery (Cedarwood Lodge)","Lóiste Creaderwood",""
"4778","100751","100751","Opp Courtlough","Opp Courtlough","Trasna ó Chartlach",""
"4779","100761","100761","Opp Grooms","Opp Grooms","Trasna ó Grooms",""
"4780","100771","100771","Opp Five Roads","Opp Five Roads","Trs ó naCúigBhóthar",""
"4781","100781","100781","Ballough","Ballough (Man of War)","Baile Locha",""
"4782","100791","100791","Turvey","Turvey (Jctn Turvey Avenue)","Tuirbhe",""
"4783","100801","100801","Swords","Swords (Bostic)","",""
"4784","100811","100811","Swords","Swords (Woodies Seatown)","",""
"4785","100821","100821","Swords","Swords Rd (Airside Park DB Stop 3696)","",""
"4786","100831","100831","Santry","Santry (Opp Omni)","Seantrabh",""
"4787","100851","100851","Whitehall","Whitehall (Opp Garda Station)","An Halla Bán",""
"4788","100861","100861","Drumcondra","Drumcondra (DB Stop 48 (Opp Spar)","Droim Conrach",""
"4789","100881","100881","Whitworth Rd Lwr","Dublin (Whitworth Rd Lower)","",""
"4790","100891","100891","Finglas","Finglas (Opp Bottom of Hill)","Fionnghlas",""
"4791","100901","100901","Finglas","Finglas (North Rd Westbound)","Fionnghlas",""
"4792","100931","100931","Mays Cross","Coolquay (Opp Mays Stores)","Crois Mays",""
"4793","100961","100961","Campus Garage","Ashbourne (Opp Campus s/station)","",""
"4794","100981","100981","Credit Union","Ashbourne (Credit Union)","",""
"4795","100991","100991","Johns Wood","Ashbourne (Johns Wood)","",""
"4796","101001","101001","Opp Pillo Hotel","Ashbourne (Opp Pillo Hotel)","",""
"4797","101011","101011","Opp Bullstown","Bullstown South","Trasna ó Bullstown",""
"4798","101031","101031","Kilmoon Cross","Kilmoon Cross (Opp Top Garage)","Crosaire Kilmoon",""
"4799","101041","101041","Opp Johns Wood","Ashbourne (Opp Johns Wood)","",""
"4800","101051","101051","Opp Dunnes Stores","Ashbourne (Opp Dunnes Stores)","",""
"4801","101061","101061","Nine Mile Stone","Ninemile Stone (B&B)","Nine Mile Stone",""
"4802","101081","101081","Opp Newtown Cross","Newtown Cross (South)","Trs ó Crs BhaileNua",""
"4803","101091","101091","Opp Mays Cross","Coolquay (Mays Stores)","Trasna ó Chrs Mays",""
"4804","101101","101101","Wards Cross","Ward Cross (Southbound)","Crs an Bharda Theas",""
"4805","101111","101111","Brock Inn","Brock Inn","Ósta Brock",""
"4806","101121","101121","Start of Motorway","Suncourt (Jctn of Motorway)","Tús an Mhótarbhl.",""
"4807","101131","101131","Finglas (North Rd)","Finglas (North Rd)","Fionnglas (Thuaidh)",""
"4808","101141","101141","Finglas","Finglas (Bottom of Hill)","Fionnghlas",""
"4809","101151","101151","Glasnevin","Dublin (Glasnevin)","",""
"4810","101171","101171","Fairyhouse Cross","Fairyhouse Cross (Southbound)","Crois Thigh na Síog",""
"4811","101181","101181","Ballybin Rd","Ballybin Rd (Ash Business Park)","Br an Bhaile Bháin",""
"4812","101191","101191","Ballybin Roundabout","Ratoath (Opp Ballybin Roundabout)","",""
"4813","101201","101201","Steeplechase","Ratoath (Steeplechase)","",""
"4814","101211","101211","Opp Steeplechase","Ratoath (Opp Steeplechase)","",""
"4815","101221","101221","The Bridge","Ashbourne (The Bridge)","An Droichead",""
"4816","101231","101231","Ballybin Roundabout","Ratoath (Ballybin Roundabout)","",""
"4817","101241","101241","Ballybin Rd","Ballybin Rd (Opp Ash Business Park)","Br an Bhaile Bháin",""
"4818","101251","101251","Half Way House","Dublin (Half Way House)","Tigh Leath Slí",""
"4819","101261","101261","Blanchardstown","Blanchardstown (Jctn Navan Rd)","Baile Bhlainséir",""
"4820","101291","101291","Fairyhouse Cross","Fairyhouse Cross (Toll Bridge)","Crois Thigh na Síog",""
"4821","101301","101301","Porterstown Lane","Porterstown Lane (Rathbeggan Lakes)","Lána B.Phóirtéaraig",""
"4822","101311","101311","Rathbeggan","Rathbeggan (Opp Des Kellys)","Ráth Beagáin",""
"4823","101321","101321","Ryans Town","Ryans Town (Bush Lane)","Baile Riain",""
"4824","101331","101331","Opp Workhouse","Dunshaughlin (Opp Workhouse)","",""
"4825","101341","101341","Opp Business Park","Dunshaughlin (Opp Business Park)","",""
"4826","101351","101351","Opp Lismullen","Opp Lismullen","Trs ó Lios Maoláin",""
"4827","101361","101361","Garlow Cross","Garlow Cross (Tara Na Ri)","Crosaire Ghearla",""
"4828","101371","101371","Johnstown Supervalu","Navan (Johnstown Supervalu)","",""
"4829","101381","101381","Level Crossing","Navan (Level Crossing)","Crosaire Comhréidh",""
"4830","101391","101391","Navan Ford","Navan (Navan Ford)","",""
"4831","101411","101411","Opp Fairyhouse","Fairyhouse Opp Racecourse","Trs ó Thigh na Síog",""
"4832","101421","101421","Kells Business Park","Kells (Opp Business Park)","",""
"4833","101431","101431","Carnaross","Carnaross (Church)","Carn na Ros",""
"4834","101441","101441","Carnaross North","Carnaross North","Carn na Ros Thuaidh",""
"4835","101451","101451","Whitegate Cross","Whitegate Cross (Opp Filling Station)","Crs an Gheata Bháin",""
"4836","101461","101461","Maghera Cross","Maghera Cross (Op Virginia Transport)","Machaire na Croise",""
"4837","101471","101471","Virginia","Virginia (Remor)","Achadh an Iúir",""
"4838","101501","101501","Billis Cross","Billis Cross (Westbound)","Crois na mBilí",""
"4839","101511","101511","New Inn","New Inn","An Cnoc Breac",""
"4840","101531","101531","Opp Lavey Inn","Opp Lavey Inn","Trasna ó Lavey Inn",""
"4841","101541","101541","Cavan Kilmore Hotel","Cavan (Opp Kilmore Hotel)","",""
"4842","101551","101551","Cavan Army Barracks","Cavan (Army Barracks)","",""
"4843","101561","101561","Cavan Crystal","Cavan (Cavan Crystal)","",""
"4844","101571","101571","Cavan Tractamotors","Cavan (Tractamotors)","",""
"4845","101591","101591","Cavan Tractamotors","Cavan (Opp Tractamotors)","",""
"4846","101601","101601","Cavan Crystal)","Cavan (Opp Cavan Crystal)","",""
"4847","101611","101611","Cavan Army Barracks","Cavan (Opp Army Barracks)","",""
"4848","101621","101621","Bent Elbow","Bent Elbow (Maggie Lee Church)","Bent Elbow",""
"4849","101631","101631","Opp New Inn","Opp New Inn","Trs ón gCnoc Breac",""
"4850","101641","101641","Bilis Cross","Billis Cross (Eastbound)","Crois na mBilí",""
"4851","101651","101651","Opp Lisgrey House","Opp Lisgrey House","Trs ó Tch. Lios Cré",""
"4852","101661","101661","Bullstown","Bullstown North","Bullstown",""
"4853","101671","101671","Virginia","Virginia (Virginia South)","Achadh an Iúir",""
"4854","101681","101681","Maghera Cross","Maghera Cross","Machaire na Croise",""
"4855","101691","101691","White Gate Cross","White Gate Cross (Filling Station)","Crs an Gheata Bháin",""
"4856","101701","101701","Carnaross","Carnaross North (Carnaross Fireplaces)","Carn na Ros",""
"4857","101711","101711","Carnaross Village","Carnaross (Panelcraft)","Srbh Charn na Ros",""
"4858","101721","101721","Kells Business Park","Kells (Business Park)","",""
"4859","101731","101731","Kells (Cavan Road)","Kells (Cavan Road)","",""
"4860","101741","101741","Kilmainham","Kilmainham (Southbound)","Cill Mhaighneann",""
"4861","101751","101751","Bloomsbury Cross","Bloomsbury Cross (Southbound)","Crosaire Bloomsbury",""
"4862","101761","101761","Opp Silver Tankard","Opp Silver Tankard","Trs ó SilverTankard",""
"4863","101771","101771","Opp Navan Ford","Navan (Opp Navan Ford)","",""
"4864","101781","101781","Woodies","Navan (Woodies)","",""
"4865","101791","101791","Dalgan Pk","Dalgan Pk (Opp St Columbans)","Prc Dhealgan",""
"4866","101801","101801","Opp Ardboyne Hotel","Navan (Opp Ardboyne Hotel)","",""
"4867","101811","101811","Opp Old Bridge Inn","Navan (Kilcarn Bdg Opp Old Bridge Inn)","",""
"4868","101821","101821","Garlow Cross","Garlow Cross (Opp Tara Na Ri)","Crosaire Ghearla",""
"4869","101831","101831","Opp Tara Cross","Opp Tara Cross","Trs ó ChrsTheamhair",""
"4870","101841","101841","Lismullen","Lismullen","Lioa Maoláin",""
"4871","101851","101851","Garden City Stop","Ashbourne (Garden City Stop)","",""
"4872","101861","101861","Ross Cross","Ross Cross Meath (Southbound)","Crosaire an Rois",""
"4873","101871","101871","Business Park","Dunshaughlin (Business Park)","",""
"4874","101881","101881","Workhouse","Dunshaughlin (Workhouse)","Teach na mBocht",""
"4875","101891","101891","Ryans Town","Ryans Town (Opp Bush Lane)","Baile Riain",""
"4876","101901","101901","Rathbeggan","Rathbeggan (Des Kellys)","Ráth Beagáin",""
"4877","101911","101911","Porterstown Lane","Porterstown Lane (Op Rathbeggan Lakes)","Lána B.Phóirtéaraig",""
"4878","101921","101921","Sheaf of Wheat","Bracetown Business Park (southbound)","Sheaf of Wheat",""
"4879","101931","101931","Clonee","Clonee (Opp Lidl)","Cluain Aodha",""
"4880","101971","101971","Custom House Quay","Custom House Quay (Hilton Garden Inn)","Cé Theach an Chust.",""
"4881","101981","101981","Fairyhouse Rd","Ratoath (Fairyhouse Rd Millview)","",""
"4882","101991","101991","Fairyhouse Rd","Fairyhouse Rd (Eastbound)","",""
"4883","102001","102001","Fairyhouse Rd","Fairyhouse Rd (Westbound)","",""
"4884","102011","102011","Gyles Quay Cross","Gyles Quay Cross (Northbound)","Cros Ché Gyles",""
"4885","102021","102021","Greenore Euston St.","Greenore (Post Office Euston St.)","An Grianfort",""
"4886","102091","102091","Barberstown Rd","Barberstown Rd (Eastbound)","",""
"4887","102101","102101","Quidstown House","Quidstown House (Eastbound)","Teach Quidstown",""
"4888","102111","102111","O'Connell Bridge","Dublin (Bachelors Walk)","Dr. Uí Chonaill",""
"4889","102161","102161","Leeson St","Dublin (Leeson St (Fitzwilliam Place)","",""
"4890","102171","102171","Burlington Hotel","Dublin (Burlington Hotel)","",""
"4891","102181","102181","Donnybrook Church","Dublin (Donnybrook Church)","",""
"4892","102191","102191","RTE","Dublin (RTE)","",""
"4893","102201","102201","Montrose Hotel","Dublin (Montrose Hotel)","",""
"4894","102211","102211","Stillorgan Park","Dublin (Stillorgan Park Hotel)","",""
"4895","102221","102221","Stillorgan","Dublin (Stillorgan)","Stigh Lorgan",""
"4896","102231","102231","Leopardstown Cross","Dublin (Leopardstown Cross)","",""
"4897","102241","102241","Cabinteely Cross","Dublin (Cabinteely Cross)","",""
"4898","102251","102251","Loughlinstown","Loughlinstown (Opp Hospital)","Baile Uí Lachnáin",""
"4899","102261","102261","Opp Superquinn","Bray (Opp Superquinn)","",""
"4900","102271","102271","Kennedy Pharmacy","Bray (Kennedy Pharmacy)","",""
"4901","102281","102281","Ballywaltrim","Bray (Ballywaltrim)","Baile Bhaltraim",""
"4902","102291","102291","Kilmacanogue","Kilmacanogue (Topaz)","Cill Mocheanóg",""
"4903","102301","102301","Kilmurray","Kilmurray","Cill Mhuire",""
"4904","102311","102311","Opp Glenview Hotel","Glenview (Opp Glenview Hotel)","",""
"4905","102321","102321","Kilpeddar","Kilpedder (Opp Whistle Stop)","Cill Pheadair",""
"4906","102331","102331","Opp Coillte","N/Mountkennedy (Opp Coillte)","",""
"4907","102341","102341","Opp Parkview Hotel","N/Mountkennedy (Op Parkview Hotel)","",""
"4908","102351","102351","Town House","N/Mountkennedy (Town House)","",""
"4909","102361","102361","Opp Smyths Leisure","N/Mountkennedy (Op Smyths Leisure)","",""
"4910","102371","102371","Newbridge Hospital","Newcastle (Hospital)","",""
"4911","102391","102391","Ashford House","Ashford (Romany Stone)","",""
"4912","102401","102401","Ballinalea","Ashford (Ballinalea)","",""
"4913","102411","102411","Rathnew","Rathnew (Opp Village Store)","Ráth Naoi",""
"4914","102421","102421","Lidl","Wicklow (Lidl)","",""
"4915","102431","102431","Community College","Wicklow (Community College)","",""
"4916","102441","102441","Opp Grand Hotel","Wicklow (Opp Grand Hotel)","",""
"4917","102451","102451","Earlsfort Terrace","Dublin (Earlsfort Terrace Westbound)","",""
"4918","102461","102461","Harrington St","Dublin (Harrington St)","",""
"4919","102481","102481","Emmet Road","Dublin (Emmet Road)","",""
"4920","102511","102511","Liffey Valley","Liffey Valley (Lucan Road)","Gleann na Life",""
"4921","102531","102531","Opp Curryhills","Prosperous (Opp Curryhills)","",""
"4922","102541","102541","Milltown","Milltown (Milltown Inn)","Baile an Mhuilinn",""
"4923","102561","102561","Equestrian Centre","Prosperous (Equestrian Centre)","",""
"4924","102571","102571","Straffan Rd","Straffan (Straffan Rd Westbound)","",""
"4925","102581","102581","Westbound","Green Cross (Westbound)","",""
"4926","102591","102591","Greens Cross","Greens Cross Eastbound","Crois an Ghraoinigh",""
"4927","102601","102601","Quidstown House","Quidstown House (Westbound)","Teach Quidstown",""
"4928","102611","102611","Clane (Opp Maxol)","Clane (Opp Maxol)","",""
"4929","102631","102631","Clane (Aldi)","Clane (Aldi)","Claonadh (Aldi)",""
"4930","102641","102641","Clane Hospital)","Clane (Clane Hospital)","",""
"4931","102651","102651","Allen (Opp Church)","Allen (Opp Church)","Allen (Séipéal)",""
"4932","102661","102661","Curryhills","Prosperous (Curryhills)","",""
"4933","102671","102671","Kilmeague","Kilmeague (Moores Post Office)","Cill Maodhóg",""
"4934","102681","102681","Dowlings North","Prosperous (Dowlings North)","",""
