"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"9085","555641","555641","Owenbeg","Owenbeg (Opp Closed School)","",""
"9086","555651","555651","Tullylinn Cross","Tullylinn Cross (Westbound)","",""
"9087","555661","555661","Stokane NS Cross","Stokane NS Cross (Westbound)","",""
"9088","555671","555671","Corballa","Corballa (St Josephs Church)","Corr Bhaile",""
"9089","555681","555681","Carra","Carra (Opposite Hall)","",""
"9090","555691","555691","Bonniconlon","Bonniconlon (Post Office)","Muine Chonalláin",""
"9091","555711","555711","Westport (Mill St)","Westport (Mill St Westbound Stop)","Cathair na Mart",""
"9092","555721","555721","Castlebar (SGW)","Castlebar (Garvey Way Elverys)","Caisl. an Bharraigh",""
"9093","555731","555731","Ballyhaunis","Ballyhaunis (The Bus Stop Shop)","Béal Átha hAmhnais",""
"9094","555751","555751","Roscommon","Mart Road","Ros Comáin",""
"9095","555771","555771","Monksland","Monksland","Oileán an Mhanaigh",""
"9096","555791","555791","Boyle","Boyle (King House - Military Road)","Mainistir na Búille",""
"9097","555801","555801","Kiltoom","Kiltoom (Opp Kiltoom Stores)","Cill Tuama",""
"9098","555811","555811","Knockcroghery","Knockcroghery (Opp JS Murray)","Cnoc an Chrochaire",""
"9099","555821","555821","Ballymoe","Ballymoe (McConns Xpress Shop)","Béal Átha Mó",""
"9100","555831","555831","Castlerea","Castlerea (The Square School)","Caisleán Riabhach",""
"9101","555841","555841","Ballymoe","Ballymoe (Eileens)","Béal Átha Mó",""
"9102","555851","555851","Tarmonbarry","Tarmonbarry (Garda Station)","Tearmann Bearaigh",""
"9103","555881","555881","Strokestown","Strokestown (Percy French Hotel)","Baile na mBuillí",""
"9104","555891","555891","Balla","Balla (Community Centre)","Balla",""
"9105","555901","555901","Ballymoe","Ballymoe (Earleys)","Béal Átha Mó",""
"9106","555921","555921","Opp Corner House","Riverstown (Opp Corner House)","",""
"9107","555931","555931","Breaffy Church","Breaffy Church (Opp St Aloysius Church)","Spl Bhréachmhaigh",""
"9108","555951","555951","Frenchpark","Frenchpark (Post Office)","Dún Gar",""
"9109","555961","555961","Rooskey","Rooskey (Opposite Reynolds)","An Riasc",""
"9110","555981","555981","Dromod","Dromod (Notleys)","Dromad",""
"9111","556011","556011","Mountbellew","Mountbellew (Bridge Bar)","An Creagán",""
"9112","556021","556021","Quigleys","Collooney (Quigley's)","Cúil Mhuine",""
"9113","556031","556031","Craughwell","Craughwell (Opp Church)","Creachmhaoil",""
"9114","556041","556041","Moylough","Moylough (Gilmores Shop)","Maigh Locha",""
"9115","556091","556091","Oranmore Station Rd","Oranmore (Oran Town Centre)","Br an St. Óran Mór",""
"9116","556101","556101","Aclare","Aclare (Gallaghers High Road)","",""
"9117","556111","556111","Mountbellew","Mountbellew (Square)","An Creagán",""
"9118","556131","556131","Ballinamuck","Ballinamuck (Church)","Béal Átha na Muc",""
"9119","556141","556141","Mountbellew","Mountbellew (Mulrooneys Pharmacy)","An Creagán",""
"9120","556151","556151","The Border Collie","Tourlestrane (The Border Collie)","Ballinagare",""
